1,joints,(0.0592066336746469,-0.4787921451492431,3.744666752739364);(0.05101184438421874,-0.5181939743919495,3.762187463565284);(0.05129945914700179,-0.5186020873947266,3.763043565078193);(0.05096475671484618,-0.5194732688827637,3.7629460667805015);(0.023497606473709628,-0.5116945647163513,3.744147521777564);(0.023969403314138934,-0.512721373931897,3.7433262740806876);(0.023990939217354342,-0.5139024399681213,3.7444707279638587);(0.03017392273500113,-0.5282501720352295,3.9002823693291484);(-0.09060476828858705,-0.5037446164054993,3.799653378649169);(0.055677003073240805,-0.4648945473594787,3.799101305528098);(0.02010390053942351,-0.45662732352448726,3.771616322322303);(0.03928820307805686,-0.35536061157418514,4.082248729987556);(-0.08478903878972383,-0.33651111950112605,3.777178121133262);(0.13045396547272353,-0.18275986541939998,4.069969092829639);(-0.09246876199290605,-0.05555792082978511,3.755131748838836);(0.20477659146740584,-0.29351915349198604,3.945422655765584);(-0.10922385860726685,0.14777794550226903,3.7205588494972526);(0.2119352285142198,-0.3073998533649566,3.9315609450997053);(-0.11688455302760453,0.21124086598919606,3.706876171155387);(0.2157056544299379,-0.3234056376381042,3.930109211577588);(-0.10263827551648469,0.22538051824139332,3.690780726595336);(0.20560424666359572,-0.3035825930996063,3.9412857153066634);(-0.10251900662228913,0.1682814739184258,3.7143877720073997);(0.011497453632499263,0.13661134033517813,4.053140302522594);(-0.050831501526092004,0.11921136244254088,3.8388428439931213);(-0.007600986552689985,0.5578447438316223,4.037079845889026);(0.10290313403561263,0.46621407638357854,3.830637832506114);(-0.003079363298867658,0.8892791129188415,4.081688446326667);(-0.11152674366280885,0.7098213292198059,3.967660381792599);(0.009007572042490527,0.9302899695472595,4.076750842256957);(-0.13778056312844605,0.7411192513542053,3.9802875158922015);(0.13033451776459365,0.949934945209491,4.025905882342273);(-0.08915545154855103,0.8384417749481079,3.9491032248907922);
2,joints,(0.04962052149683392,-0.4764885249097848,3.7357538747476475);(0.0420643289199487,-0.5154321732481026,3.753223653404607);(0.042367917727531554,-0.5158650817831063,3.7540919589685338);(0.041981821190418364,-0.5167084279020333,3.7540023135827916);(0.013857280146183131,-0.5081589760740304,3.7362118470357792);(0.014301643948854564,-0.5091953816373849,3.7353807496713536);(0.014286228697599528,-0.5104031505544686,3.7365058767484562);(0.024520405810178874,-0.5251915397604012,3.891091163723363);(-0.09703978406280124,-0.4983253421743417,3.796736102073087);(0.048436236809791686,-0.46266233348446134,3.789922859041585);(0.01217469690352833,-0.4534223618467355,3.7635330217765706);(0.038013731371463896,-0.3515840711553598,4.072900052635564);(-0.09142879651874149,-0.3329382481534982,3.7725353198932545);(0.1316212986221925,-0.1886061372716928,4.058599035708799);(-0.1111537690648421,-0.06743317269878629,3.743015642731084);(0.18230873091131602,-0.31412502550678495,3.936875052097353);(-0.10936150955051029,0.11925823720944878,3.6908011543439763);(0.17590805632978831,-0.33223693990307096,3.9251976036341922);(-0.10641354577630603,0.17947886339230296,3.6778788673566716);(0.17725890619665538,-0.3503476026018167,3.92817038715501);(-0.0906302358397826,0.1875487250725722,3.667450051276578);(0.17942966265589153,-0.3259109797437692,3.9341699275994735);(-0.1004295151123389,0.13570760960997846,3.6871971147941487);(0.006056574415268062,0.1431695913414454,4.044002126424207);(-0.05732381971567714,0.1257547858620977,3.8292331206487553);(-0.0122705937737211,0.567534720663259,4.031019698350324);(0.11188907666117108,0.47141683674258944,3.8172440337823765);(-0.008236164916454198,0.8990829048196769,4.073099847404851);(-0.11947662638515079,0.6923202333490348,3.9563313810961382);(0.0038249336740390043,0.940407937530706,4.0680643129037755);(-0.14769336836427296,0.7211561856309867,3.9693936216520207);(0.12434850377947247,0.9636009988824821,4.017003047733201);(-0.11395925538629138,0.8305038270990348,3.9400482368530767);
3,joints,(0.04285172229348394,-0.479249708137966,3.7643138038067954);(0.03535377835570547,-0.5172147078137168,3.7824526297001975);(0.03567644064961645,-0.5176529807667503,3.783414171829714);(0.035254409962284294,-0.5184485835652122,3.783215598955645);(0.007466121070968838,-0.5100931448559531,3.7658716904072898);(0.007942231797563763,-0.511148564300991,3.7651490734963553);(0.007866135292637081,-0.5123674792866477,3.766101943150057);(0.01837079455791685,-0.523764006576992,3.9184379315077202);(-0.10292977983416346,-0.49745338388488375,3.8236405270247595);(0.04147547339736196,-0.46409111448333346,3.8167027996926444);(0.005523099058258266,-0.4549236220936545,3.7904084788708823);(0.033003976994144646,-0.34754284449622713,4.088675083413614);(-0.10391958946646479,-0.33409636446044527,3.8010712729840415);(0.12931993459998342,-0.1999345047096976,4.075856001868738);(-0.14284917855919627,-0.08449319728419863,3.757354082360758);(0.16369692837535116,-0.3518437666516074,3.9774535017161505);(-0.12363346064747599,0.07155901215269483,3.700325192704691);(0.15107482528029653,-0.37579261489913546,3.9695988239793913);(-0.11357224876345423,0.12389686352803625,3.687373192801966);(0.1501581654482958,-0.3997037930111655,3.9781643206327097);(-0.09930981094301966,0.12576779186024584,3.67609322239448);(0.15912364279566976,-0.36675482221648775,3.978014195158972);(-0.11407356107891825,0.08411778158738531,3.6964312808661597);(0.002065657132255764,0.14761375750645317,4.051891961887373);(-0.06222082818211344,0.13018359172388233,3.837069803669943);(-0.016984609461438923,0.572551079310917,4.038879724040521);(0.10878568744002554,0.475746013440632,3.8224621506481307);(-0.01967448419244316,0.9052028732676736,4.079048292532457);(-0.12623777384222773,0.6981623249430886,3.94128415040475);(-0.009320765308153896,0.9467622118373147,4.073229702010645);(-0.1559856846398237,0.7271258311648598,3.951800488687946);(0.10302468990622732,0.9732764439959756,4.017171943381323);(-0.1257834746903303,0.8358540611644021,3.9156126061527865);
4,joints,(0.0407058096470911,-0.4824636198065728,3.7821306276631255);(0.03346325671101398,-0.5199645377181024,3.800518630774011);(0.03379698311711139,-0.5204019166014642,3.801492198140611);(0.033355782085903354,-0.521190903284356,3.801287173063745);(0.005576143318660923,-0.5130609489462823,3.784115238816728);(0.006073667013891407,-0.5141217924139947,3.78342740121602);(0.00595975136185474,-0.5153416014693231,3.784332095415582);(0.017275849634655185,-0.5250882721922845,3.936743070141663);(-0.10454103881692105,-0.4995215154669732,3.8421416420054335);(0.03937164908076114,-0.46679183016042414,3.834344140024175);(0.0033372065963823278,-0.4578364707015008,3.808242334754457);(0.03223441755200214,-0.3473595000288934,4.103777556450357);(-0.10858510220622235,-0.3376507080576867,3.819970070154657);(0.12981377010966128,-0.2058676398776025,4.091626389653673);(-0.15278453910922224,-0.09296918580751126,3.7709631908249754);(0.1572313404622156,-0.3611662603400201,3.9998751606356997);(-0.13081022883032972,0.058974207244113036,3.7113208759140868);(0.14395711784983461,-0.38536073932866755,3.9926577794861693);(-0.11805369490956479,0.11076862444658572,3.6983959365200896);(0.14295899336958712,-0.4094070411704034,4.001674781323661);(-0.1043045052347105,0.11252936800499255,3.687957404882898);(0.15252391462946718,-0.37621100912313166,4.000872018517246);(-0.12093325490330868,0.07135106702823932,3.707603453428735);(0.0019051752033311803,0.14809082435001428,4.064137994081964);(-0.06341714943026715,0.1306728002198487,3.8491304281663794);(-0.017857794372491173,0.5730496429421454,4.052390700907697);(0.10928566222811527,0.47679529418726263,3.8332313064050574);(-0.024273834379516177,0.9056324743248969,4.091947912008752);(-0.1252250873503607,0.7083455704667121,3.9439173003223438);(-0.014808933904520802,0.9471776865937263,4.085964902074327);(-0.1554091178831976,0.7387046598412543,3.9537589955174077);(0.09433787530089206,0.9744448446251899,4.029531984360208);(-0.12426110143040829,0.8434814595200568,3.9144208345127005);
5,joints,(0.03858600134765831,-0.47826428191054127,3.808022381888743);(0.03132576073324409,-0.5154081083952214,3.8254333456624705);(0.03167746539032188,-0.5157777167974736,3.8262373527158458);(0.031193103145715863,-0.5166204072653081,3.8261362334359843);(0.004310197632667691,-0.5089498855291631,3.808674173580523);(0.004787235956546933,-0.5100389219938543,3.80793534420621);(0.004629220317957074,-0.5112280346571233,3.8087452968229014);(0.01400113056218353,-0.5191863276182439,3.9590987424944);(-0.10502992247426782,-0.49498266951430103,3.862953061388846);(0.03651225144779411,-0.46187836901533863,3.8589717914928157);(0.001327719043848187,-0.45340097920286915,3.832644151674624);(0.03043850089227882,-0.340841839474323,4.12265145980012);(-0.11239722048127923,-0.33805761710989735,3.841088654624339);(0.13765568609153953,-0.1994319357095983,4.088864030467387);(-0.17099728112304483,-0.10267736987459922,3.79126239024293);(0.1566648292056295,-0.3590102292715337,3.948431184666272);(-0.11165694569433007,0.04418439193379617,3.7400587817300517);(0.14677148635303702,-0.3897174097715642,3.9287676980365474);(-0.08096206237757478,0.0948306709409926,3.7274126430619914);(0.14652925307666984,-0.41353697554457447,3.939968770520802);(-0.061397960905077785,0.08752473219048715,3.724349023925181);(0.15292067403709617,-0.374580214184406,3.9485556466151435);(-0.09558717583501611,0.05174383296382165,3.7399991770852763);(-0.0020135497041967806,0.15302501254465914,4.083927678095217);(-0.06721888904655252,0.13884624800395703,3.865712659584399);(-0.0011415821799066958,0.559946437913296,4.0824752917159755);(0.10991258497154441,0.5038238070787165,3.84251432322156);(-0.034613713943025946,0.8876197837175105,4.124438466655131);(-0.11139304612958703,0.7906569145501826,3.9111005684007365);(-0.029365331895741552,0.9297800563157771,4.119688185082789);(-0.1401493815072802,0.826816966372845,3.9174523969758708);(0.08143013293659415,0.9726290605844233,4.076200859772082);(-0.0908722435423163,0.9149692557634089,3.8708869909514148);
6,joints,(0.03210684516490695,-0.47317270173270565,3.8137919204997845);(0.02505440124334094,-0.510107911960672,3.831531350569708);(0.02541143306554553,-0.5104596985741363,3.832163755850775);(0.024911364997041198,-0.5113168133660064,3.832097117857916);(-0.0019426732414841927,-0.503657020465921,3.817085613565428);(-0.0014653778725743569,-0.504746354953836,3.8163500326442548);(-0.0016309372240186013,-0.5059343351288543,3.8170132535266705);(0.010915624434363815,-0.5129107607765899,3.9615514940339156);(-0.1082036807292581,-0.4889818800850616,3.877841507153494);(0.030599682117116424,-0.45656076802451473,3.8628974976706334);(-0.004524645870316056,-0.4480665697022186,3.840374459581358);(0.03818423160375354,-0.3319100810452209,4.116808866219504);(-0.1190802841538072,-0.3323436154289947,3.859540534274561);(0.13706958898366686,-0.18100864423949578,4.0642606737780405);(-0.20233955374895338,-0.0983062161370025,3.812388007597906);(0.15250769861997363,-0.3435608221455322,3.8794642138051816);(-0.11288710079132322,0.026566267176081154,3.758305152015669);(0.14446667441190478,-0.3689839018746124,3.847059843199236);(-0.07515062532364133,0.07301505671303413,3.7415090548562833);(0.14425893732370135,-0.3907870425148712,3.8572455542850324);(-0.052523455125975636,0.05637308226387641,3.7418103265333005);(0.14930652686418291,-0.35763338937003475,3.8781513320970364);(-0.09392885631858114,0.028639592392851326,3.759733785943968);(-0.0074908784681439675,0.15664022013034365,4.076519784586413);(-0.07421421400247816,0.14522489502515337,3.8583574193286725);(0.024630194986474487,0.554624252183844,4.07456587727545);(0.08167360582412478,0.5255989657477631,3.834358741598112);(-0.041480299909363715,0.8711550460891022,4.108394925551398);(-0.08684418118535284,0.8766007052497162,3.8411125289964505);(-0.038308144556123046,0.9127832280234589,4.103904728846533);(-0.10652814201055769,0.9200192318991913,3.840651129441244);(0.07117751845182177,0.9644024597243561,4.067246039466841);(-0.029756510173666505,0.9729618059233918,3.7744282382297345);
7,joints,(0.023863614489869824,-0.45867445962544007,3.866024528461292);(0.01699760644658064,-0.49545588986988587,3.884058472531631);(0.017359011759595623,-0.4957799007188849,3.8846293136652257);(0.016847939183549633,-0.4966440488588385,3.8846021041448857);(-0.010039943317337284,-0.4891972233545355,3.8704521551903035);(-0.009566127369566212,-0.4902966310274176,3.869696412998035);(-0.00973463342563654,-0.4914716173898749,3.8703667715366628);(0.00654894201977705,-0.49812385337467713,4.013672159815922);(-0.11446562320963885,-0.4743854095232062,3.9342885732825543);(0.022736669471101513,-0.4418095042001776,3.91469810606797);(-0.012527002999944935,-0.43347325818653626,3.8933991760190274);(0.042809047689275494,-0.3168552805673651,4.162193347531154);(-0.12983637214676882,-0.3191080679189734,3.910931248980358);(0.15507137863858197,-0.16774484412785093,4.09671767504771);(-0.20986303598658587,-0.09213378923054258,3.8527381316002156);(0.1458218553565309,-0.32431551711674256,3.912958402949169);(-0.11650376678483035,0.02470712466124972,3.797276650386646);(0.13433446078522657,-0.35134151475544495,3.881975834089115);(-0.07887274124698188,0.06918890876655062,3.781061519699886);(0.12724673836453412,-0.37283024089451355,3.8932869553740765);(-0.059218796948356876,0.05417641354684313,3.779111017304256);(0.14135749726517652,-0.33818551795597596,3.912585628050163);(-0.09821612671987559,0.027093679736895165,3.7978682860906865);(-0.0136949895419314,0.1710827519181796,4.117750112729862);(-0.08434002012984301,0.16008775690530022,3.8995416730817105);(0.027739562978582134,0.5650259862649866,4.10764533730109);(0.07056976198180173,0.5404806743371912,3.8753909215505864);(-0.049023316463375786,0.8901831815946527,4.143122766929462);(-0.0764574381061032,0.8907245705831476,3.8869898587640073);(-0.04549945034125293,0.932473571132464,4.139504154043987);(-0.0933286948599055,0.9339782903898187,3.8874164492066647);(0.06557034044487928,0.9801913212049432,4.107983370142772);(-0.010353840003175983,0.997571797202868,3.8232313141401555);
8,joints,(0.01516027027664718,-0.44826234993133196,3.868434554335268);(0.008424207809548945,-0.4849356573501552,3.8869699522821026);(0.00880767429171142,-0.48519660648498186,3.887613324817808);(0.008276976886373133,-0.48607917246017107,3.8875802367893773);(-0.018829364088196188,-0.4780423801818813,3.8729692459074574);(-0.018373589721340566,-0.4791746896186794,3.8722447365490513);(-0.018574289736170202,-0.48034532484206804,3.873003339764269);(-7.779127063217706e-05,-0.4858740132728542,4.0171559046922045);(-0.12216583615245286,-0.4604849975982631,3.9361964374748784);(0.015535854044538111,-0.4306092422882045,3.9170312494007664);(-0.020036026594061285,-0.42150189098510393,3.895160062607916);(0.040692307296376795,-0.3029307585636104,4.1653653740851);(-0.14516963040532532,-0.304994390575024,3.910718163844736);(0.15740276152191696,-0.15573071059379226,4.104133738574179);(-0.23290436690749589,-0.08483801898154861,3.8558508217302876);(0.1392451601654106,-0.3109343212524379,3.9349964693156796);(-0.12336178844870987,0.02789193275776261,3.8077906429735737);(0.12123923772869644,-0.3373240989128078,3.912353454527052);(-0.09186562871636811,0.0755974862298047,3.792875877019556);(0.1083061623006874,-0.3612563770690883,3.9161113932696896);(-0.07284261262120667,0.060622728200820625,3.7940015107361393);(0.13155727857647476,-0.3256854575553859,3.9310917690364438);(-0.10716636454762879,0.030539109142688453,3.809395557638796);(-0.00992565950455132,0.18497751304340118,4.121244265135916);(-0.10021457051934662,0.17413346120548004,3.9028738796679097);(0.05813118094502029,0.5814725894054448,4.099807588752897);(0.06201248640118179,0.553309573563007,3.8740214616028386);(-0.02799363782705727,0.9065726238807713,4.147025814649256);(-0.07851548282505932,0.8834319550117528,3.914639851447733);(-0.028214344513434797,0.9485797125419652,4.144543713328035);(-0.09553582569660607,0.9246605474075352,3.91895209103504);(0.07454832667408523,1.002150579126743,4.112846700843962);(-0.018279622998852163,1.0096813279708898,3.8641495913235264);
9,joints,(0.006577635072161206,-0.4415316817477411,3.836748492171648);(0.0008713583275570952,-0.47821685049087465,3.8557568306230334);(0.0012596863135590636,-0.4784729716494745,3.856440942933443);(0.0007371174916520201,-0.4793581602290338,3.8563644254707126);(-0.02718436170370435,-0.4714103576853937,3.8415950501464633);(-0.02670745749027585,-0.4725437996104425,3.8408819252752093);(-0.02692665357143735,-0.47371568653137147,3.8416813725732593);(-0.0064387601986632265,-0.4787847039416498,3.9882607042916445);(-0.1305957568064437,-0.45366831991226136,3.9076941648625163);(0.008196214102198132,-0.4238860246852106,3.886058036436918);(-0.028410313762734882,-0.4148297545626825,3.8638912106059817);(0.03413850989191676,-0.2950552341654962,4.13801531141031);(-0.15323401812465048,-0.29716118547470033,3.882821601083162);(0.15117968793957376,-0.1490529117301172,4.076751996030691);(-0.2289059740677581,-0.07183208438903749,3.832783367683771);(0.13219605561344766,-0.30243461701423585,3.9175025189422397);(-0.12484226945788716,0.04120341566055358,3.7892475241922168);(0.11264525528996135,-0.3282150861933893,3.898131113698366);(-0.09140167955310201,0.08741577592342437,3.7733580732845096);(0.09875481005756999,-0.352656030388183,3.9015611225866107);(-0.07395450409502839,0.07196638610809386,3.7740944737695483);(0.12328665133564616,-0.3173259136393732,3.912986483623865);(-0.1088037547841773,0.04360829916446746,3.7903930211566714);(-0.012943254895518772,0.19141584512441695,4.093157831778409);(-0.1105342936888442,0.1806183258876139,3.874698218157175);(0.08851321216671611,0.5869911673352057,4.0558515975378775);(0.05458683695643092,0.5583725037857825,3.841228511383417);(-0.011725830025981418,0.8913801672741706,4.118918281247499);(-0.08527423266322469,0.8779943945690925,3.896308582475069);(-0.014205096401284686,0.9302648070141608,4.117285173585298);(-0.10244331333787297,0.918709731368714,3.9021429384254245);(0.08024332102387095,0.9958094122692878,4.0897637793921255);(-0.02664829242975568,1.0061622026249701,3.8510093355678348);
10,joints,(0.0025130235354527547,-0.438041003173244,3.8261926101086225);(-0.0026772483487502025,-0.47464403671587707,3.8447809444305983);(-0.002298919041909306,-0.47488626999224426,3.845483757698306);(-0.0028068288464919017,-0.4757709221300006,3.845404945456752);(-0.031207246263779728,-0.468131871646297,3.8303014115927305);(-0.030739297648228733,-0.46927109522188903,3.8295781986353483);(-0.0309261172314063,-0.47043678325976135,3.830402977907428);(-0.00906460874275121,-0.4748308972772479,3.9783574500152405);(-0.13485125221804534,-0.45006075662935974,3.8972746507761564);(0.004675599257193477,-0.4199554638322711,3.8757821248409834);(-0.03258043297127637,-0.4111720637735248,3.8530363218424406);(0.029170001367770107,-0.290777237838161,4.130080349886187);(-0.15667156644658004,-0.2930060045179248,3.874363131963977);(0.14637726030751314,-0.14489349884356262,4.070083640658625);(-0.2281334302623645,-0.0648268179353595,3.8229207472441282);(0.12932373068734254,-0.2974214271959186,3.9075759725210752);(-0.12303915016845617,0.0464574827495694,3.7777984814283934);(0.10933181128903476,-0.3242591337617755,3.882060639703044);(-0.0865855715473071,0.09117666470443009,3.762177147114047);(0.09652992568417636,-0.3484676198419452,3.8900082857844915);(-0.07137239121393117,0.07497111546431778,3.7611650304434385);(0.1203536190788373,-0.3123084024843097,3.9058395923612204);(-0.10704121135667714,0.0483275337759137,3.778272889697322);(-0.01670647182063016,0.19526842307855485,4.085230939233073);(-0.11333782367900762,0.18453724567403196,3.8658844457504835);(0.06027939401074496,0.5922462626043439,4.04851769670225);(0.06763335547848788,0.5608007593694806,3.832302622639903);(-0.016841655154980747,0.9015189095083356,4.12197107835985);(-0.07679231513784084,0.8743726296964764,3.892359465503463);(-0.016374891181744664,0.9411527200285077,4.121652729952105);(-0.09512212642029676,0.9141286297384381,3.8985010237929907);(0.0846773632566556,1.0001336021963239,4.093001105034121);(-0.02775442369774732,1.0025872273985028,3.8495217935679045);
